Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3000.00 1400.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
2 3000.00 1397.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
3 3000.00 1394.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
4 3000.00 1391.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
5 3000.00 1388.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
6 3000.00 1385.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
7 3000.00 1382.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
8 3000.00 1379.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
9 3000.00 1376.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
10 3000.00 1373.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
11 3000.00 1370.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
12 3000.00 1367.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
13 3000.00 1364.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
14 3000.00 1361.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
15 3000.00 1358.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
16 3000.00 1355.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
17 3000.00 1352.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
18 3000.00 1349.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
19 3000.00 1346.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
20 3000.00 1343.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
21 3000.00 1340.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
22 3000.00 1337.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
23 3000.00 1334.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
24 3000.00 1331.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
25 3000.00 1328.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
26 3000.00 1325.00 100.000000 47.6019 1.92573 12.3964 1.38765 0 11.2445 0.236033 6.21086 0 0 10.6365 2.33223 0.23135 0.177025 5.61984 0
